pid,paddress,email,pname
P000000001,"30479 Brenda Wall Suite 983Matthewtown, MD 89850",jennifermurphy@gaines.com,Disney Worldwide
P000000002,"0668 Crawford Course Suite 605Carolinemouth, DE 14611",rmorgan@davis-bruce.org,Bloomsbery Publishing
P000000003,"7986 Moss Track Apt. 154Skinnerport, ID 33405",awilliams@gmail.com,Pierre-Jules Hetzel
P000000004,"1778 Cole OrchardLake Amandabury, ID 24526",peckmartin@gmail.com,William Heineman
P000000005,"2630 Katie CourtsSouth Evelynview, UT 22434",victoriajennings@bradley-garcia.com,Chatto & Windus
P000000006,"506 Evans LakesNew Lisafurt, OH 09182",christopheratkinson@lee-cherry.com,Blue Book Magazine
P000000007,"010 Lisa ShoreTylerton, ID 51017",julia51@hotmail.com,Harvill Secker
P000000008,"9132 Carla Mall Apt. 923South Elizabeth, PA 48609",jeremy33@yahoo.com,Penguin Random House LLC.
P000000010,"136 Guerra LakesStephensonhaven, ND 48619",ypowers@moore.com,Double Day & Company
P000000011,"4892 Roberts Glens Suite 148Nelsonfort, NH 33991",vcarter@yahoo.com,Kavi Mahesh
P000000012,"324 King Route Suite 711Lake Lorettamouth, VT 93954",dianegordon@yahoo.com,Techical Publications
P000000013,"127 John CovesMelissabury, NY 33420",dawngordon@gmail.com,Sudhas Student Friendly Textbooks
P000000014,"348 Derek ShoresMackborough, GA 11534",deannathomas@hotmail.com,Arihants
P000000015,"2022 Jonathan MountainCaldwellport, MA 84446",zpeterson@taylor-white.com,Core Engineering Series
P000000016,"78808 Contreras Crest Suite 661Jacobmouth, ND 21239",alexanderjeffrey@hotmail.com,S. Chand
P000000017,"183 Summers StreetsKyleland, MO 45247",thompsonjames@dougherty.com,BI Bhatt
P000000018,"7369 Megan BranchDuncanstad, DC 67900",amy06@gmail.com,Oxford
P000000019,"58515 Cervantes Corners Apt. 684Elizabethmouth, VA 27201",kristinereynolds@lee.com,VTU
P000000020,"85086 Justin Tunnel Apt. 768Port Emmashire, AZ 37062",rpeters@richards.com,S. Chand
P000000021,"284 S. Clinton Road  Osseo, MN 55311",xndz911qkxg@iffymedia.com,Penguin Classics
P000000022,"284 J. Kennedy Road  Osseo, MN 55311",premium@premium.com,Premium Edition
P000000023,"284 J. Roosevelt Road  Osseo, NA 55322",lakshmi@lakshmi.com,Lakshmi Publications
P000000024,"284 J. Clinton Road  Osseo, NV 55311",elmasri@elmasri.com,Elmasri
fname,minit,lname,au_id,pid_auth,type,genre
Rick,,Riordan,A000000001,P000000001,Fiction,Fantasy
J.,K,Rowling,A000000002,P000000002,Fiction,Fantasy
Jules,,Verne,A000000003,P000000003,Fiction,"Fantasy,Science Fiction"
H.,G,Wells,A000000004,P000000004,Fiction,Science Fiction
Aldous,,Huxley,A000000005,P000000005,Fiction,Science Fiction
Philip,,Wylie,A000000006,P000000006,Fiction,Science Fiction
George,,Orwell,A000000007,P000000007,Fiction,Science Fiction
George,R,Stewart,A000000008,P000000008,Fiction,Science Fiction
Ray,,Bradbury,A000000010,P000000010,Fiction,Science Fiction
Kavi,,Mahesh,A000000011,P000000011,Educational,
J,S,Chitode,A000000012,P000000012,Educational,
Dr.,,KSC,A000000013,P000000013,Educational,
Gaurav,,Shukla,A000000014,P000000014,Educational,
B,V,Ramana,A000000015,P000000015,Educational,
R,S,Khurmi,A000000016,P000000016,Educational,
J,M,Smith,A000000017,P000000017,Educational,
J,S,Slater,A000000018,P000000018,Educational,
S,P,Basavarju,A000000019,P000000019,Educational,
S,S,Dhara,A000000020,P000000020,Educational,
Mary,,Shelley,A000000021,P000000021,Fiction,Science Fiction
Jeremy ,,Pickles,A000000022,P000000022,Educational,""
Jeraldin,,Ahila,A000000023,P000000023,Educational,""
Elmasri,,Navathe,A000000024,P000000024,Educational,""
Lasa,,Ramez,A000000025,P000000021,Educational,""
book_name,book_id,type,semester,pdate,rating,age_rest,au_id_book,branch_id_book,did_book,pid_book,genre,is_borrowed
F000000047,John,,Schmidt,50,2007,ocantu@bates-miller.com,9713754299,"62321 Mitchell Run Apt. 154West Stevenmouth, WA 89685",BTC0000003,BR00000003,S]^AXZqMV~`}}
F000000048,Tracey,,Williams,49,2015,daleramirez@hotmail.com,9250217581,"24153 Foster Gateway Suite 776New Amy, GA 06886",CHC0000001,BR00000001,SDowofQhLvOV
F000000049,Lauren,,Williams,65,2012,kristensmith@gmail.com,9413950591,"30448 Austin Plaza Apt. 976Lindseyview, OH 35353",CSE0000002,BR00000002,SxwfODEzF
F000000050,Christopher,,Lopez,56,1996,linedward@hotmail.com,9089566114,"7105 Cannon Mountain Apt. 049West Katie, VA 99473",ECE0000003,BR00000003,]Kea^\Fph
F000000051,Ronald,,Hunt,56,2013,xbrowning@hotmail.com,9638998955,"56755 Richard Underpass Apt. 413North Justintown, CA 40576",EME0000001,BR00000001,\nL~kPfF
F000000052,Walter,,Malone,42,2016,john79@phillips.com,9212850787,"0267 Elizabeth Branch Suite 592West Brianville, WV 76981",EEE0000002,BR00000002,ygPflcIM_df
F000000053,Alan,,Anderson,61,2008,stephen82@yahoo.com,9406479268,"5700 Jacqueline Loaf Apt. 029North David, UT 89895",CVV0000003,BR00000003,DBzJcrZ\E
F000000054,Daniel,,Russo,53,1998,ghendrix@hotmail.com,9071871799,"18190 Gail ParkwaysLake Bethside, VT 29111",BTC0000001,BR00000001,]c_Hu_{
F000000055,Terri,,Blair,68,2008,murraylisa@wilson-baldwin.com,9962016882,"3533 Christopher ShoresWest Kellymouth, KY 59014",CHC0000002,BR00000002,DyHkAlJ
F000000056,Teresa,,Scott,50,2005,xparks@gmail.com,9891185434,"862 Katie Courts Apt. 384Yoderville, IN 42888",CSE0000003,BR00000003,Vq~mmi`lQ
F000000057,Abigail,,Johnson,43,2017,johnsonsamuel@yahoo.com,9859396582,"193 Chen LodgeJohnsonland, PA 85085",ECE0000001,BR00000001,~sJbT`bHZi
F000000058,Tonya,,Smith,44,2013,petersentabitha@gmail.com,9192362517,"94758 Ray MountainEast Nathanmouth, TN 87798",EME0000002,BR00000002,GjcKudmnn
F000000059,Robert,,Mann,63,1998,stephensalazar@watts-porter.biz,9338561507,"6915 Vanessa ManorsPort Jessica, VA 34988",EEE0000003,BR00000003,FUqjQhzMx
F000000060,Amanda,,Allen,58,2001,michelle68@hoffman-alexander.biz,9449924449,"563 Jessica Lodge Apt. 952Gallagherview, IN 10896",CVV0000001,BR00000001,qnUrYif[UH
F000000061,Anthony,,Houston,47,2012,patrickhernandez@ryan.biz,9358197615,"17597 Peter RapidsFieldsland, LA 27976",BTC0000002,BR00000002,CaMpnWk\sgJ]ys
F000000062,Lori,,King,43,2004,hawkinslisa@hotmail.com,9877548881,"9908 Dana IslandsWest Joelfurt, AR 84802",CHC0000003,BR00000003,[oFFYR^
F000000063,Matthew,,Valencia,57,2005,howardleslie@yahoo.com,9811069128,"5743 Alvin Lake Apt. 363Natalietown, WY 45375",CSE0000001,BR00000001,[EfItHJ}
F000000064,Ruben,,Yu,47,1995,acarter@ross.org,9391712647,"814 Powell Islands Suite 160South Brandi, OK 63995",ECE0000002,BR00000002,xsOk{Nyd~I
F000000065,Dustin,,Hamilton,56,2002,alex42@gmail.com,9100961564,"57002 Hill Centers Apt. 017Ruizchester, MN 40061",EME0000003,BR00000003,XauwNPXNh~
F000000066,Brenda,,Kim,52,2006,jessicatran@harris-ross.com,9806327743,"22108 Timothy NeckNew Angela, LA 88131",EEE0000001,BR00000001,KaPqSWPYzrU_e
F000000067,Julie,,Roberts,62,2008,smithmolly@yahoo.com,9334144525,"3219 Kenneth CoveMooremouth, AK 82266",CVV0000002,BR00000002,]wLuK^]ChTmhY
F000000068,Marissa,,Ellis,44,2002,steven71@marks.net,9644628954,"33540 House Inlet Apt. 302North Jorgeborough, ND 95447",BTC0000003,BR00000003,jZ~tIShTgoC
F000000069,Laurie,,Pierce,46,2014,ruth44@hotmail.com,9329063285,"267 Davis Cove Apt. 400North Alexburgh, NV 05798",CHC0000001,BR00000001,}M{{X[Jr{_GiS
F000000070,Mark,,Parker,42,2007,michael34@jones.com,9379509880,Unit 5802 Box 1975DPO AE 70281,CSE0000002,BR00000002,PnGqFpjfnaes
pid,paddress,email,pname
P000000001,"30479 Brenda Wall Suite 983Matthewtown, MD 89850",jennifermurphy@gaines.com,Disney Worldwide
P000000002,"0668 Crawford Course Suite 605Carolinemouth, DE 14611",rmorgan@davis-bruce.org,Bloomsbery Publishing
P000000003,"7986 Moss Track Apt. 154Skinnerport, ID 33405",awilliams@gmail.com,Pierre-Jules Hetzel
P000000004,"1778 Cole OrchardLake Amandabury, ID 24526",peckmartin@gmail.com,William Heineman
P000000005,"2630 Katie CourtsSouth Evelynview, UT 22434",victoriajennings@bradley-garcia.com,Chatto & Windus
P000000006,"506 Evans LakesNew Lisafurt, OH 09182",christopheratkinson@lee-cherry.com,Blue Book Magazine
P000000007,"010 Lisa ShoreTylerton, ID 51017",julia51@hotmail.com,Harvill Secker
P000000008,"9132 Carla Mall Apt. 923South Elizabeth, PA 48609",jeremy33@yahoo.com,Penguin Random House LLC.
P000000010,"136 Guerra LakesStephensonhaven, ND 48619",ypowers@moore.com,Double Day & Company
P000000011,"4892 Roberts Glens Suite 148Nelsonfort, NH 33991",vcarter@yahoo.com,Kavi Mahesh
P000000012,"324 King Route Suite 711Lake Lorettamouth, VT 93954",dianegordon@yahoo.com,Techical Publications
P000000013,"127 John CovesMelissabury, NY 33420",dawngordon@gmail.com,Sudhas Student Friendly Textbooks
P000000014,"348 Derek ShoresMackborough, GA 11534",deannathomas@hotmail.com,Arihants
P000000015,"2022 Jonathan MountainCaldwellport, MA 84446",zpeterson@taylor-white.com,Core Engineering Series
P000000016,"78808 Contreras Crest Suite 661Jacobmouth, ND 21239",alexanderjeffrey@hotmail.com,S. Chand
P000000017,"183 Summers StreetsKyleland, MO 45247",thompsonjames@dougherty.com,BI Bhatt
P000000018,"7369 Megan BranchDuncanstad, DC 67900",amy06@gmail.com,Oxford
P000000019,"58515 Cervantes Corners Apt. 684Elizabethmouth, VA 27201",kristinereynolds@lee.com,VTU
P000000020,"85086 Justin Tunnel Apt. 768Port Emmashire, AZ 37062",rpeters@richards.com,S. Chand
P000000021,"284 S. Clinton Road  Osseo, MN 55311",xndz911qkxg@iffymedia.com,Penguin Classics
P000000022,"284 J. Kennedy Road  Osseo, MN 55311",premium@premium.com,Premium Edition
P000000023,"284 J. Roosevelt Road  Osseo, NA 55322",lakshmi@lakshmi.com,Lakshmi Publications
P000000024,"284 J. Clinton Road  Osseo, NV 55311",elmasri@elmasri.com,Elmasri
fname,minit,lname,usn,semester,dob,twelfth_percent,cgpa,email,phone_no,did_stud,branch_id_stud,password
Paul,,Holder,SAA1201800001,2,2000-11-26,91.00,8.85,iponce@yahoo.com,9645582327,CSE0000001,BR00000001,t~tsWzLIrJhQ
Timothy,,Tanner,SAA1201800002,2,2000-03-19,94.80,9.91,smithjoseph@johnston-buck.org,9350728358,ECE0000002,BR00000002,HeLFy|eRBQH
Jeanette,,Turner,SAA1201800003,2,2000-04-18,93.10,9.54,gonzalezronald@henderson-smith.com,9200106316,EME0000003,BR00000003,pBFCpblE
Ronald,,Moody,SAA1201800004,2,2000-06-16,89.50,9.88,moorejessica@gmail.com,9811334941,EEE0000001,BR00000001,PiIjB|h~VK
Kenneth,,Pratt,SAA1201800005,2,2000-02-15,84.70,7.85,linda57@peters.net,9909650648,CVV0000002,BR00000002,kwAmjSSO
Timothy,,Fuentes,SAA1201800006,2,2000-01-27,98.00,8.61,stuart44@dean-smith.com,9159090567,BTC0000003,BR00000003,~XXsoaUY
Corey,,Morton,SAA1201800007,2,2000-02-25,95.60,9.19,stephanie39@young.biz,9583881349,CHC0000001,BR00000001,rU^ADVTqgyNs
Stephen,,Sosa,SAA1201800008,2,2000-08-11,99.80,8.81,andrewthompson@park.com,9202604663,CSE0000002,BR00000002,Jr}B~[nI
James,,Harris,SAA1201800009,2,2000-08-25,89.10,8.23,valeriemurray@gmail.com,9032628458,ECE0000003,BR00000003,_aLO{HIid`zLxQ
Carl,,Moore,SAA1201800010,2,2000-01-01,97.80,8.70,qswanson@gordon.com,9860045641,EME0000001,BR00000001,askf[Xo]
Karen,,Rogers,SAA1201800011,2,2000-04-21,86.60,8.12,kathryn15@hotmail.com,9595931217,EEE0000002,BR00000002,FRIkjLh}
Melinda,,Jimenez,SAA1201800012,2,2000-10-08,82.10,7.76,kingrenee@gmail.com,9556796700,CVV0000003,BR00000003,WoZRBzQnhg
Joseph,,Taylor,SAA1201800013,2,2000-03-18,85.80,9.75,duncankevin@yahoo.com,9113469524,BTC0000001,BR00000001,WqaTkgtr]~
Elizabeth,,Branch,SAA1201800014,2,2000-04-01,96.60,8.90,christinarussell@yahoo.com,9920496740,CHC0000002,BR00000002,OP}bEJ|ntA
Jamie,,Martin,SAA1201800015,2,2000-08-15,87.00,9.33,susanparsons@yahoo.com,9590086118,CSE0000003,BR00000003,bvgloWv}rqnj
Mr.,,Justin,SAA1201800016,2,2000-06-18,89.10,7.64,Strickland,9456341612,ECE0000001,BR00000001,iGZ_eUcPvH
Megan,,Reed,SAA1201800017,2,2000-02-04,85.70,8.21,rebeccadonaldson@newman.com,9923671658,EME0000002,BR00000002,N`tgQKgWI}
Stephanie,,Rice,SAA1201800018,2,2000-09-11,96.80,9.93,adamfarmer@stokes-mccall.com,9478453878,EEE0000003,BR00000003,RtSrCehevNVg
Emily,,Gonzalez,SAA1201800019,2,2000-12-24,86.70,9.75,pwatson@hotmail.com,9978613715,CVV0000001,BR00000001,Q~yoksNwYt
Brian,,Wells,SAA1201800020,2,2000-03-21,81.90,8.67,nmeyers@vargas-williams.org,9442932070,BTC0000002,BR00000002,PCiTIKb]DAAV
Brandon,,Hayes,SAA1201800021,2,2000-09-12,91.60,8.99,davidrojas@wilson.com,9801433796,CHC0000003,BR00000003,[Q|Pn\P
Jessica,,Cameron,SAA1201800022,2,2000-02-19,81.30,8.85,randy99@wilson-williams.com,9438812417,CSE0000001,BR00000001,I\o|ftjs
Valerie,,Garcia,SAA1201800023,2,2000-10-15,97.30,7.94,wwalter@reed.com,9091465566,ECE0000002,BR00000002,VH^Mq|R]cd
Michael,,Rodriguez,SAA1201800024,2,2000-12-15,92.30,9.50,erica78@hall.com,9797783874,EME0000003,BR00000003,QA{OyIqjjFOot
Vincent,,Parks,SAA1201800025,2,2000-10-18,95.00,7.78,jessecunningham@gmail.com,9606385943,EEE0000001,BR00000001,}WJ}EyIj[
Lucas,,Sanchez,SAA1201800026,2,2000-07-23,91.60,8.04,ramosjustin@mccarthy.com,9737078683,CVV0000002,BR00000002,zEgArsnb
Lauren,,Bryant,SAA1201800027,2,2000-11-27,96.30,7.62,joyce67@chase.info,9158777610,BTC0000003,BR00000003,uSBg|C\hMR[W
Jamie,,Burton,SAA1201800028,2,2000-11-02,98.60,9.88,deanna61@newman.com,9654862775,CHC0000001,BR00000001,oKv{K]kS
Christine,,Lopez,SAA1201800029,2,2000-11-03,87.20,8.18,mgarcia@morgan.org,9425602155,CSE0000002,BR00000002,ZJDMqvCeZC|
Christine,,Nguyen,SAA1201800030,2,2000-02-23,80.10,9.65,williamsbetty@yahoo.com,9933529298,ECE0000003,BR00000003,nqhxRQ\Sj
Michael,,Ho,SAA1201800031,2,2000-08-22,93.50,9.85,robertsamanda@morgan.org,9945703764,EME0000001,BR00000001,WTGkLIpyrC
Rhonda,,Perez,SAA1201800032,2,2000-09-12,99.50,7.79,danielleoconnor@gmail.com,9904425955,EEE0000002,BR00000002,P~IrjkBYx
Christine,,White,SAA1201800033,2,2000-11-14,92.70,8.84,carneyjonathan@murphy-hatfield.com,9453384803,CVV0000003,BR00000003,Zutgm`qftPRLb
Lauren,,Stanley,SAA1201800034,2,2000-09-01,89.80,8.58,jeffrey29@gmail.com,9317770694,BTC0000001,BR00000001,POIsZg]x\\v
Jason,,Salazar,SAA1201800035,2,2000-09-10,81.00,7.64,mdoyle@gmail.com,9547999862,CHC0000002,BR00000002,xsG]y[{YRwKG]
Jeremiah,,Nelson,SAA1201700001,2,1999-04-11,96.60,8.88,ghale@stevens.biz,9115981244,CSE0000003,BR00000003,EFPnhSsUzGe
Sharon,,Gaines,SAA1201700002,2,1999-07-02,81.60,8.08,calvin49@wood.com,9593708695,ECE0000001,BR00000001,QzPBgQyo
Brian,,Hart,SAA1201700003,2,1999-11-18,84.00,9.59,aaronhernandez@hotmail.com,9976899611,EME0000002,BR00000002,AozLA\rXgV~f
Kara,,Roberts,SAA1201700004,2,1999-03-21,89.90,9.00,littlecurtis@gmail.com,9621511171,EEE0000003,BR00000003,[e]fDhi~N
Nathan,,Gillespie,SAA1201700005,2,1999-05-03,97.00,8.24,williamsashley@thompson.biz,9391729589,CVV0000001,BR00000001,iln{AtwwE]H
Jonathan,,Williams,SAA1201700006,2,1999-02-20,88.20,8.27,barbara32@gmail.com,9193296657,BTC0000002,BR00000002,UeNSQPdfj^v
Anthony,,Young,SAA1201700007,2,1999-12-08,90.70,8.45,bensonkaren@yahoo.com,9870986739,CHC0000003,BR00000003,Bew[TmiJ
Daniel,,Sherman,SAA1201700008,2,1999-02-09,88.70,8.98,melinda44@hotmail.com,9494094314,CSE0000001,BR00000001,gKj[}rXm]
Billy,,Torres,SAA1201700009,2,1999-09-18,88.30,7.55,daviddickson@george.com,9538275412,ECE0000002,BR00000002,YSDuKgAnV_cxRD
Steven,,Graham,SAA1201700010,2,1999-04-04,94.10,9.22,kimlopez@hotmail.com,9426660454,EME0000003,BR00000003,dO^yoFL~xo]
Tom,,Barr,SAA1201700011,2,1999-06-12,82.40,9.99,jonward@gmail.com,9220458703,EEE0000001,BR00000001,vB^cUOUDzx`Cid
Hector,,Andersen,SAA1201700012,2,1999-06-22,97.20,9.87,devin32@brown-caldwell.com,9263491141,CVV0000002,BR00000002,YkGVf\S[Mdojz
Megan,,Graves,SAA1201700013,2,1999-04-24,82.20,7.68,mike15@robinson.com,9414618735,BTC0000003,BR00000003,TQESVtxNIY
James,,Newton,SAA1201700014,2,1999-04-14,86.90,8.21,paulmanning@gmail.com,9498549897,CHC0000001,BR00000001,QBXJ[KtZmJ
Jennifer,,Vaughan,SAA1201700015,2,1999-07-12,84.90,9.17,tmason@ruiz.com,9676483638,CSE0000002,BR00000002,dWMXP]Dr
Michael,,Webb,SAA1201700016,2,1999-01-25,97.70,9.51,jmoses@thompson.com,9949480105,ECE0000003,BR00000003,u}H|OsSZu
Brian,,Hudson,SAA1201700017,2,1999-08-18,85.90,8.79,btaylor@gmail.com,9303231233,EME0000001,BR00000001,ytHHqQmj[XN
Joy,,Smith,SAA1201700018,2,1999-04-23,81.50,9.77,katie74@anthony.org,9726120845,EEE0000002,BR00000002,InfqHM}i
Bonnie,,Brown,SAA1201700019,2,1999-02-03,90.20,8.15,pharris@gibson-bennett.com,9048935917,CVV0000003,BR00000003,hoJfigLaRx
Darius,,Nelson,SAA1201700020,2,1999-04-15,91.40,8.26,xwilliams@gmail.com,9341320964,BTC0000001,BR00000001,\jxgegavYoTKBe
Donald,,Miller,SAA1201700021,2,1999-11-23,91.40,7.85,biancaarroyo@gmail.com,9441281055,CHC0000002,BR00000002,[L\J`dhFvYaAW
Samantha,,King,SAA1201700022,2,1999-06-02,83.60,9.70,billyfinley@yahoo.com,9443818508,CSE0000003,BR00000003,cNcup[sH~
Melissa,,Jordan,SAA1201700023,2,1999-08-01,96.90,8.93,joshuaallen@hotmail.com,9531214510,ECE0000001,BR00000001,^ayLKaeqjh~w
Michael,,Garrett,SAA1201700024,2,1999-05-25,86.00,8.37,carolharris@yahoo.com,9403340108,EME0000002,BR00000002,ZeT|`huTx}
Wendy,,James,SAA1201700025,2,1999-10-12,85.30,8.16,hbranch@gmail.com,9948813966,EEE0000003,BR00000003,cmLyiDOLE
Donna,,Clark,SAA1201700026,2,1999-05-22,98.80,7.95,alanmatthews@flores.com,9082719066,CVV0000001,BR00000001,LXjX~QrPLBhn]
Natasha,,Martin,SAA1201700027,2,1999-07-25,96.60,7.51,brenda37@hotmail.com,9903706091,BTC0000002,BR00000002,TJrsRN]isa\qD
Michael,,Meyer,SAA1201700028,2,1999-05-10,88.40,7.76,ann76@anderson-howard.org,9135556191,CHC0000003,BR00000003,~GarfA[YgUl|vG
Kathryn,,Wilson,SAA1201700029,2,1999-04-16,98.20,8.69,matthewross@hotmail.com,9922827766,CSE0000001,BR00000001,qNYXJXNNSScE|
Paul,,Mcbride,SAA1201700030,2,1999-09-10,96.30,7.86,thomas22@watkins-turner.biz,9706273327,ECE0000002,BR00000002,Q]dB[DtK^
Tami,,Cain,SAA1201700031,2,1999-01-15,88.30,8.27,burgessangela@davis.com,9765733419,EME0000003,BR00000003,{B]hrMYw~GU
Ashley,,Gutierrez,SAA1201700032,2,1999-05-03,96.50,8.37,DDS,9427282403,EEE0000001,BR00000001,ziN}PZW[M
Zachary,,Mathis,SAA1201700033,2,1999-09-18,87.90,9.50,christopher29@gillespie.info,9730112564,CVV0000002,BR00000002,lOmtPwVI
William,,Flynn,SAA1201700034,2,1999-10-11,85.40,9.72,uclark@guzman.com,9670404415,BTC0000003,BR00000003,ZKpNrpxis
Stephanie,,Black,SAA1201700035,2,1999-09-16,83.50,7.77,patriciaeaton@yahoo.com,9002454096,CHC0000001,BR00000001,kGjNeXo}PbGSNT
